State,District,Village,Rainfall_Level,Humidity_Level,Flood_Risk,Air_Temperature_C,Water_pH,Turbidity,Dissolved_Oxygen,BOD,COD,Nitrate,Fecal_Coliform,Arsenic,Lead,Sanitation_Coverage(%),Sewage_Treatment_Quality,Wind_Speed_kmh,Solar_Radiation_Wm2,Land_Use_Type,Waste_Management_Quality,Population_Density_per_km2,Total_Dissolved_Solids,Chloride,Sulphate,Ammonia,Heavy_Metals_Index,Water_Temperature_C,Overall_Risk_Level
Arunachal Pradesh,Tawang,Tawang_Village_12,Low,Low,High Risk,15.8,7.78,8.96,3.51,2.89,4.35,34.11,317,0.054,0.023,86,Moderate,1.2,176.6,Urban,Poor,4654,1366.02,153.3,57.83,0.29,3.73,25.0,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_13,High,Moderate,High,22.2,6.92,6.4,6.18,1.39,12.47,22.29,441,0.077,0.026,55,Moderate,17.0,479.9,Rural,Poor,4759,888.45,96.78,142.57,2.8,2.29,25.9,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_14,High Risk,High Risk,Moderate,33.1,7.14,5.48,3.63,4.54,15.46,2.06,167,0.03,0.032,60,Moderate,0.5,169.3,Agricultural,Good,2756,269.34,14.48,114.42,2.72,4.37,34.1,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_15,High,Moderate,High,20.7,7.02,6.71,2.16,2.49,5.49,10.83,350,0.06,0.029,54,Good,0.3,979.9,Rural,Good,2698,1473.33,143.9,142.97,2.54,3.18,18.3,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_16,Moderate,High,Very Low,12.3,7.76,5.43,4.25,0.82,13.13,47.15,497,0.056,0.025,93,Good,35.4,840.7,Industrial,Moderate,2283,577.6,33.36,103.42,1.66,1.68,10.9,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_17,Moderate,Moderate,Very Low,25.2,7.57,0.67,9.75,0.42,7.9,27.45,174,0.019,0.012,42,Moderate,0.0,296.1,Urban,Poor,3289,827.69,218.99,156.9,1.91,1.34,15.1,High
Arunachal Pradesh,Tawang,Tawang_Village_18,Moderate,High,Low,25.7,6.73,8.95,9.15,1.51,10.84,43.72,226,0.022,0.003,90,Good,25.6,261.5,Urban,Good,1385,299.39,2.12,9.65,1.98,1.41,14.4,High
Arunachal Pradesh,Tawang,Tawang_Village_19,Low,High Risk,High Risk,27.2,7.51,3.23,8.33,0.05,3.64,4.51,457,0.082,0.03,88,Poor,18.7,233.3,Agricultural,Moderate,421,1264.69,5.47,22.7,0.52,4.01,27.0,High Risk
Arunachal Pradesh,Tawang,Tawang_Village_20,High Risk,Low,High,25.5,7.33,9.6,6.9,2.74,8.98,24.26,343,0.074,0.04,81,Poor,0.8,63.5,Urban,Moderate,1686,601.69,215.68,302.73,1.65,1.22,14.0,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_1,Very Low,Very Low,High Risk,17.2,8.29,2.84,2.08,2.56,8.79,9.98,429,0.072,0.025,63,Poor,9.3,634.6,Agricultural,Moderate,2643,1425.23,24.2,126.92,2.03,1.91,16.1,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_2,High Risk,Low,High Risk,16.7,6.07,6.95,5.57,4.08,15.94,36.4,436,0.095,0.008,92,Moderate,4.3,971.9,Urban,Good,4422,210.55,188.53,208.96,1.39,2.95,14.3,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_3,High,Moderate,Moderate,14.6,8.29,9.6,4.84,0.25,0.56,27.64,488,0.025,0.001,26,Poor,9.2,372.9,Industrial,Good,835,927.32,9.42,86.85,1.86,2.0,19.4,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_4,High Risk,Low,High Risk,22.1,7.67,2.97,2.99,4.58,19.76,48.1,79,0.069,0.013,49,Moderate,37.2,569.4,Agricultural,Good,81,448.6,220.01,377.26,1.19,1.41,12.6,High
Arunachal Pradesh,West Kameng,West Kameng_Village_5,High,Low,Moderate,23.0,6.1,2.19,3.24,1.15,7.67,3.44,225,0.023,0.014,90,Moderate,27.5,632.6,Agricultural,Moderate,1152,432.65,113.27,296.56,2.98,2.46,21.8,High
Arunachal Pradesh,West Kameng,West Kameng_Village_6,Low,High Risk,Low,19.6,7.12,3.26,4.27,5.85,19.27,10.74,252,0.07,0.016,91,Poor,4.8,922.7,Rural,Poor,2996,1137.63,163.43,235.41,0.73,2.26,28.9,High
Arunachal Pradesh,West Kameng,West Kameng_Village_7,High Risk,High Risk,High Risk,23.4,7.38,2.74,9.89,4.1,17.26,27.63,56,0.005,0.024,69,Moderate,22.3,595.6,Rural,Good,4932,979.9,203.5,3.06,1.7,2.43,15.0,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_8,Low,High Risk,Moderate,32.9,6.52,6.97,4.47,3.84,7.07,26.38,229,0.096,0.037,36,Good,35.4,536.6,Rural,Good,4809,1400.58,158.09,352.24,1.74,3.73,25.8,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_9,High Risk,Low,High,21.5,7.76,2.2,8.21,1.55,10.38,16.28,210,0.093,0.019,22,Good,27.1,527.6,Rural,Moderate,4379,140.14,175.62,80.6,1.57,4.48,25.4,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_10,Low,Low,Low,31.2,6.54,7.98,9.0,2.85,18.34,6.73,464,0.029,0.009,49,Good,7.9,65.8,Industrial,Good,1333,215.88,63.7,381.54,1.74,0.68,10.1,High
Arunachal Pradesh,West Kameng,West Kameng_Village_11,Low,High,Very Low,15.3,8.08,5.46,8.65,3.16,5.75,8.18,17,0.023,0.02,39,Good,19.9,839.6,Agricultural,Poor,4154,1349.54,0.76,80.19,0.16,0.12,20.5,High
Arunachal Pradesh,West Kameng,West Kameng_Village_12,Moderate,Low,Low,21.9,7.1,8.27,5.72,1.17,6.64,26.52,132,0.089,0.013,7,Good,16.1,348.5,Urban,Good,259,1072.62,227.86,258.76,0.04,3.95,32.6,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_13,Very Low,High Risk,Moderate,19.3,7.03,1.05,2.41,4.73,13.02,21.39,254,0.022,0.009,75,Good,6.8,791.5,Industrial,Good,520,768.57,232.67,140.67,1.87,0.87,24.9,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_14,High Risk,High,Low,11.5,7.04,5.77,6.12,2.29,16.68,28.07,485,0.059,0.021,9,Good,21.6,240.7,Industrial,Poor,2501,1291.73,90.14,265.22,2.92,1.53,20.0,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_15,Low,Moderate,Low,15.3,8.21,0.4,6.95,4.62,4.12,42.72,150,0.014,0.021,14,Good,20.0,816.8,Rural,Good,4418,885.58,179.65,70.71,2.09,2.1,6.7,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_16,High,Moderate,High,14.0,6.0,0.62,8.5,3.97,14.78,28.66,304,0.095,0.007,43,Good,20.0,207.4,Agricultural,Good,4820,1005.52,241.31,297.7,0.04,3.27,9.4,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_17,Low,High,Moderate,20.0,6.74,9.23,3.55,0.88,0.07,7.33,149,0.072,0.004,96,Poor,18.0,684.4,Industrial,Good,1840,1399.46,98.43,106.49,0.95,3.36,10.2,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_18,Very Low,High,High Risk,25.4,6.32,6.66,9.32,5.16,2.22,11.28,18,0.081,0.036,12,Poor,14.9,772.1,Rural,Poor,1693,1275.19,59.6,157.16,0.69,3.93,25.3,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_19,Low,Low,High Risk,33.5,6.57,1.24,9.63,4.15,3.31,37.25,13,0.078,0.01,40,Poor,3.8,914.7,Urban,Good,484,1165.74,31.79,18.45,2.77,3.52,27.4,High Risk
Arunachal Pradesh,West Kameng,West Kameng_Village_20,High,Low,Moderate,28.0,6.84,6.29,2.81,5.3,1.89,30.38,452,0.026,0.036,8,Poor,28.2,532.7,Urban,Poor,3922,1198.09,177.09,224.08,2.64,0.35,24.8,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_1,High Risk,Moderate,High Risk,22.4,7.61,1.52,7.15,2.61,3.9,2.28,23,0.018,0.019,83,Good,0.6,374.6,Rural,Poor,1501,1049.64,57.8,82.42,0.75,4.05,29.4,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_2,High,High,High,30.6,8.13,9.86,7.39,3.66,11.25,10.68,7,0.016,0.04,83,Good,11.8,458.4,Agricultural,Poor,4499,988.77,113.98,205.28,2.53,2.06,6.9,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_3,Moderate,Moderate,High Risk,30.0,7.55,4.12,2.45,0.53,19.55,2.61,98,0.003,0.009,71,Moderate,15.7,965.5,Industrial,Moderate,4687,926.0,119.9,65.43,1.64,3.52,8.0,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_4,High,High,Low,34.9,8.01,2.44,4.05,3.1,18.09,19.71,201,0.039,0.016,97,Moderate,31.3,438.0,Agricultural,Poor,4941,554.02,233.92,10.12,0.18,0.03,27.4,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_5,High Risk,Moderate,High,21.5,6.98,6.66,5.97,2.39,10.25,47.62,479,0.068,0.035,41,Moderate,36.2,106.4,Urban,Good,754,853.59,231.15,368.96,2.1,1.33,8.4,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_6,High Risk,High Risk,Very Low,32.8,7.31,8.65,3.91,4.42,6.2,6.19,61,0.099,0.035,46,Poor,26.9,898.4,Urban,Moderate,4417,78.91,161.94,186.37,2.14,2.44,16.8,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_7,Moderate,High,Very Low,28.7,7.25,7.92,7.99,2.47,3.09,47.01,89,0.045,0.039,4,Moderate,22.8,519.0,Industrial,Moderate,4689,111.95,201.34,182.58,2.24,4.84,20.9,High
Arunachal Pradesh,East Kameng,East Kameng_Village_8,Very Low,High Risk,Very Low,20.5,7.22,7.17,5.86,3.79,7.43,0.33,286,0.08,0.034,25,Good,6.7,95.0,Urban,Moderate,4286,867.52,27.94,224.85,2.64,2.86,14.7,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_9,Very Low,Very Low,Low,21.8,7.9,2.64,3.16,3.24,7.03,43.76,89,0.026,0.019,52,Good,31.6,536.3,Urban,Good,4767,832.3,169.76,332.76,0.53,0.73,18.5,Moderate
Arunachal Pradesh,East Kameng,East Kameng_Village_10,High Risk,Very Low,High,25.8,7.37,9.72,5.08,0.86,6.49,47.61,454,0.039,0.032,81,Poor,17.8,101.4,Agricultural,Moderate,3657,139.48,69.56,60.06,2.51,4.15,23.8,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_11,Moderate,Moderate,Low,13.8,7.56,0.07,4.48,5.89,3.7,2.18,381,0.05,0.047,100,Poor,4.0,798.8,Industrial,Good,1520,190.56,113.36,232.45,1.2,2.25,15.5,Moderate
Arunachal Pradesh,East Kameng,East Kameng_Village_12,High Risk,High,Very Low,29.6,8.41,8.84,2.22,4.67,13.65,35.1,56,0.078,0.005,9,Poor,31.2,572.8,Urban,Good,1981,1092.93,12.81,395.1,2.32,3.5,23.9,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_13,High,High,Very Low,14.3,7.59,8.46,9.15,5.72,10.32,35.94,79,0.053,0.04,62,Poor,18.0,660.4,Agricultural,Good,1604,356.22,144.99,348.29,2.21,3.83,11.0,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_14,Low,High Risk,High,22.5,7.27,8.87,7.92,2.77,8.09,26.36,346,0.031,0.05,31,Good,28.4,700.7,Industrial,Good,3943,871.15,96.89,379.87,0.54,2.49,25.7,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_15,High,High Risk,Moderate,13.1,6.33,6.08,9.44,4.41,11.49,47.3,88,0.081,0.016,63,Good,33.7,705.5,Industrial,Moderate,3028,885.22,186.36,240.86,1.94,4.92,26.3,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_16,Very Low,Very Low,Moderate,10.2,6.55,0.81,7.37,5.18,4.93,48.67,396,0.097,0.003,80,Good,27.3,340.2,Industrial,Good,4834,997.24,175.74,44.09,1.5,2.51,33.8,High
Arunachal Pradesh,East Kameng,East Kameng_Village_17,Very Low,Very Low,High Risk,27.2,6.8,1.61,7.95,3.62,4.44,7.02,219,0.055,0.04,90,Poor,20.6,721.7,Urban,Poor,4406,1395.12,242.77,15.06,1.78,0.87,24.9,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_18,High,High,Moderate,19.6,6.86,4.37,5.35,0.89,1.64,13.25,204,0.044,0.013,100,Good,27.9,804.6,Industrial,Good,1637,827.32,164.44,289.99,0.87,2.94,7.5,High
Arunachal Pradesh,East Kameng,East Kameng_Village_19,Low,Moderate,High,21.8,8.4,5.26,8.45,2.35,1.69,31.24,212,0.06,0.016,31,Moderate,38.8,400.9,Agricultural,Poor,1095,1413.18,222.11,229.11,2.9,2.15,11.3,High Risk
Arunachal Pradesh,East Kameng,East Kameng_Village_20,Moderate,High Risk,High,22.0,6.21,4.14,7.5,5.34,3.33,42.79,187,0.066,0.012,91,Poor,1.1,260.2,Rural,Good,3143,1470.51,54.84,270.49,2.7,1.82,26.9,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_1,High Risk,Low,Very Low,17.2,7.7,6.99,4.78,5.18,15.17,31.26,92,0.049,0.03,22,Poor,37.1,839.7,Industrial,Poor,3648,319.38,146.41,77.23,1.77,0.39,15.7,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_2,Moderate,High,High Risk,19.3,7.5,9.93,2.94,4.15,18.29,46.6,337,0.05,0.001,93,Poor,19.1,906.9,Agricultural,Moderate,2573,1251.17,213.87,159.98,0.62,2.47,34.2,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_3,Very Low,Moderate,Low,19.6,8.49,7.31,9.77,5.66,16.83,29.49,368,0.073,0.011,54,Poor,27.6,417.4,Agricultural,Good,3878,533.27,155.11,346.45,2.13,0.64,28.2,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_4,Moderate,High Risk,High,18.8,8.31,2.42,2.47,4.19,2.06,22.41,290,0.087,0.017,1,Good,25.4,813.8,Rural,Moderate,1726,1175.92,91.24,364.82,0.69,3.4,34.7,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_5,High,Moderate,High Risk,31.4,6.75,0.69,2.67,4.85,12.02,30.62,451,0.011,0.016,58,Good,1.4,710.2,Agricultural,Good,1091,1131.47,57.74,9.69,1.83,3.35,34.2,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_6,High,Moderate,Moderate,31.2,7.6,1.64,7.63,4.26,19.7,37.03,477,0.067,0.01,43,Good,17.8,217.8,Urban,Moderate,4540,708.65,155.62,69.18,1.81,2.93,35.0,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_7,High Risk,Very Low,Very Low,25.2,7.18,9.87,2.52,5.72,16.97,40.66,169,0.063,0.015,79,Moderate,22.1,80.5,Rural,Good,3528,1083.64,173.35,93.39,0.49,2.36,11.4,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_8,Moderate,High,Very Low,31.5,7.36,3.82,4.77,1.77,13.55,27.34,305,0.069,0.035,97,Good,26.8,471.8,Rural,Moderate,706,912.03,195.61,237.1,1.93,1.31,34.3,High
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_9,High Risk,Moderate,Moderate,27.7,7.35,3.24,3.5,2.18,18.23,33.16,422,0.065,0.017,62,Poor,8.2,197.2,Rural,Moderate,436,139.98,206.55,63.21,1.41,3.65,26.9,High
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_10,Low,Low,High,30.4,7.57,8.98,5.29,4.5,3.94,16.26,444,0.001,0.011,8,Good,28.1,113.2,Industrial,Moderate,3077,318.63,65.51,256.66,0.45,0.82,20.0,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_11,Low,High,Very Low,19.5,6.37,1.05,3.17,4.37,8.23,0.66,386,0.072,0.02,65,Poor,3.8,897.5,Agricultural,Poor,815,450.65,54.65,222.78,1.47,1.48,23.8,Moderate
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_12,High,Very Low,High,33.6,8.34,2.15,6.42,1.26,18.88,8.34,243,0.052,0.012,97,Good,30.9,506.3,Rural,Moderate,1060,295.9,238.64,124.18,2.38,1.63,5.6,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_13,Low,Low,Very Low,31.6,6.15,2.28,9.14,2.45,15.56,9.31,379,0.061,0.001,51,Good,10.0,253.1,Urban,Poor,4154,567.62,221.74,42.4,2.86,3.25,13.7,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_14,High Risk,Moderate,Very Low,11.5,6.05,7.26,4.79,5.41,2.62,30.92,219,0.057,0.02,38,Poor,32.5,873.0,Industrial,Good,4559,425.84,167.79,249.52,2.84,3.84,27.5,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_15,Moderate,Low,Very Low,14.1,7.67,6.48,6.38,4.87,18.46,7.08,499,0.01,0.027,92,Moderate,20.4,814.3,Rural,Poor,4691,1243.94,243.93,382.23,0.46,3.14,20.2,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_16,High,High,High Risk,31.7,6.45,4.84,4.74,2.24,13.59,43.8,362,0.016,0.015,47,Moderate,8.0,198.3,Industrial,Moderate,2039,1427.74,197.05,91.49,0.54,3.51,22.1,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_17,High,Moderate,Moderate,19.4,7.98,6.01,9.64,2.79,8.87,35.68,49,0.038,0.034,89,Poor,35.9,366.8,Rural,Moderate,3572,1063.21,103.1,27.7,0.89,2.77,34.5,High
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_18,High,High,High Risk,18.5,8.17,9.48,8.66,1.26,18.7,42.92,89,0.076,0.007,8,Moderate,29.9,537.6,Industrial,Good,2188,216.58,94.47,42.31,1.37,1.78,24.6,High
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_19,High,Low,High Risk,12.5,7.89,9.63,7.9,0.49,19.55,2.5,103,0.01,0.027,77,Good,14.2,131.6,Rural,Good,4320,560.2,48.01,17.67,2.26,1.05,7.3,High Risk
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_20,Very Low,High,Very Low,15.4,7.63,1.81,2.29,0.44,11.84,48.3,414,0.018,0.025,92,Moderate,4.3,783.1,Agricultural,Good,4717,715.27,117.3,338.76,0.63,4.22,11.2,High
Arunachal Pradesh,Papum Pare,Papum Pare_Village_1,High,Low,Moderate,16.3,7.53,0.32,4.29,2.99,0.59,44.94,443,0.01,0.025,100,Good,36.6,805.6,Rural,Good,851,1279.33,182.35,17.58,2.6,0.86,10.6,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_2,High,Low,High,20.9,8.03,0.6,7.16,5.82,15.46,20.18,360,0.021,0.041,74,Poor,27.2,606.7,Industrial,Good,3539,978.22,48.15,293.87,0.05,3.58,25.0,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_3,High Risk,Moderate,High Risk,19.1,7.06,6.21,9.28,1.55,7.59,46.55,185,0.066,0.011,57,Good,8.7,219.2,Agricultural,Poor,1555,295.98,187.01,203.49,1.1,3.42,21.2,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_4,Very Low,Very Low,Very Low,14.6,7.7,5.82,8.9,3.08,1.17,5.52,489,0.031,0.029,60,Good,3.0,126.7,Industrial,Moderate,3379,1220.21,54.51,109.44,0.82,1.4,34.5,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_5,Low,High Risk,Moderate,22.2,6.16,5.76,9.56,1.32,9.87,26.4,419,0.051,0.048,13,Good,1.5,348.1,Rural,Poor,873,940.74,177.21,157.21,2.72,0.15,25.1,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_6,High Risk,High Risk,Very Low,20.5,7.54,0.46,5.25,3.02,3.41,41.6,385,0.079,0.012,19,Moderate,8.0,510.1,Industrial,Good,3664,1322.51,155.57,206.22,1.44,3.66,26.6,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_7,Moderate,High,High,17.7,7.9,3.34,6.02,3.5,9.46,16.0,488,0.026,0.004,86,Moderate,13.0,762.1,Rural,Poor,3426,1400.69,182.84,135.94,2.99,0.67,24.2,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_8,Low,Very Low,Low,16.0,6.53,8.45,5.61,1.19,14.14,3.06,155,0.086,0.025,32,Moderate,24.2,506.1,Industrial,Moderate,60,690.28,33.92,22.16,1.18,2.68,24.2,High
Arunachal Pradesh,Papum Pare,Papum Pare_Village_9,Low,High,High,12.1,7.38,2.47,6.33,0.04,4.39,42.73,373,0.075,0.011,59,Poor,26.8,657.6,Urban,Good,4852,690.82,57.42,315.72,0.08,2.99,18.2,High
Arunachal Pradesh,Papum Pare,Papum Pare_Village_10,High,Low,High,22.0,8.45,8.65,2.34,5.53,8.97,40.18,188,0.013,0.029,4,Moderate,17.6,165.5,Urban,Poor,1030,672.83,26.31,239.12,2.47,3.89,27.2,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_11,High,Moderate,Moderate,31.0,7.82,6.3,4.87,4.07,1.31,32.76,229,0.085,0.026,45,Moderate,36.5,266.5,Industrial,Good,4993,1092.48,177.36,25.93,0.33,3.53,11.4,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_12,Low,Moderate,High,30.4,6.95,5.27,4.2,0.59,4.66,15.48,496,0.013,0.001,36,Poor,18.0,906.7,Industrial,Moderate,2050,300.46,240.02,66.43,2.91,4.0,31.0,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_13,Very Low,High Risk,Low,13.8,7.18,7.35,3.73,3.59,7.46,3.93,226,0.006,0.014,98,Moderate,38.6,179.1,Agricultural,Moderate,2570,729.25,2.02,287.45,2.09,0.14,31.3,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_14,Low,Moderate,Very Low,18.6,7.9,5.57,4.08,4.55,6.35,23.22,65,0.046,0.026,99,Poor,20.7,713.9,Industrial,Poor,3998,325.92,90.76,38.25,2.02,0.68,6.2,High
Arunachal Pradesh,Papum Pare,Papum Pare_Village_15,High Risk,Low,High Risk,11.9,8.04,8.4,7.86,5.54,5.32,47.39,408,0.087,0.036,91,Moderate,15.6,321.5,Agricultural,Poor,1379,71.53,119.22,284.57,0.02,1.42,13.3,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_16,Moderate,Very Low,Moderate,17.2,8.42,8.39,8.16,1.55,13.02,24.05,374,0.051,0.044,1,Poor,6.5,112.8,Urban,Moderate,2682,1290.29,153.23,112.99,2.39,1.36,12.1,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_17,Low,High,Low,12.9,6.58,0.84,5.94,5.6,18.11,22.73,307,0.056,0.029,21,Poor,21.9,631.9,Agricultural,Good,72,697.95,126.14,4.08,1.36,3.22,16.4,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_18,High Risk,Low,Low,19.0,6.84,3.95,8.85,5.33,18.12,10.31,476,0.043,0.047,33,Poor,38.8,900.8,Rural,Poor,4031,465.34,221.45,90.99,2.31,1.16,11.1,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_19,High,Low,High Risk,32.5,8.46,4.28,4.95,4.64,18.1,5.58,290,0.086,0.015,77,Poor,30.3,291.8,Urban,Good,1695,998.71,25.48,229.0,2.09,0.41,21.7,High Risk
Arunachal Pradesh,Papum Pare,Papum Pare_Village_20,Low,High,High Risk,32.4,6.89,7.06,3.07,5.76,17.46,21.5,28,0.069,0.026,36,Moderate,32.6,479.5,Rural,Moderate,4498,568.17,231.7,149.48,0.0,4.91,12.0,High Risk
Arunachal Pradesh,Kurung Kumey,Kurung Kumey_Village_1,Moderate,Low,Moderate,13.5,7.75,3.47,9.05,3.65,6.29,40.83,496,0.098,0.037,51,Moderate,7.3,71.9,Industrial,Poor,2358,486.7,79.95,239.08,0.82,3.86,24.9,High
