State,District,Village,Population,Pin_Code,Leptospirosis,Norovirus,Legionnaires_Disease,Dysentery_Bacillary,Typhoid_Fever,Rotavirus,Cholera,Giardiasis,Dysentery_Amoebic,Hepatitis_E,Hepatitis_A,Schistosomiasis,Cryptosporidiosis,Acute_Diarrhoeal_Disease,Poliomyelitis,E_coli_Diarrhea,Total_Patients
Arunachal Pradesh,East Kameng,East Kameng_Village_17,4539,246413,4,6,1,3,1,12,6,4,11,0,0,0,1,22,0,9,80
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_16,9762,692683,7,17,0,17,8,22,10,8,11,0,3,1,5,45,0,19,173
Meghalaya,South Garo Hills,South Garo Hills_Village_1,7553,684041,2,10,1,8,10,17,8,10,7,1,5,0,2,32,0,16,129
Meghalaya,Ri Bhoi,Ri Bhoi_Village_19,7131,294776,3,7,1,10,5,12,2,4,7,1,3,0,6,31,0,16,108
Manipur,Senapati,Senapati_Village_14,8054,319036,6,16,0,9,15,16,4,6,12,3,1,0,3,44,0,12,147
Assam,Tinsukia,Tinsukia_Village_15,2250,755383,2,7,0,3,2,7,2,1,3,0,0,0,0,14,0,2,43
Nagaland,Kohima,Kohima_Village_12,8825,601207,2,18,0,19,13,26,8,15,11,0,5,0,5,33,0,20,175
Arunachal Pradesh,Lohit,Lohit_Village_11,5480,993085,2,12,0,8,5,11,3,6,10,1,1,0,4,26,0,9,98
Nagaland,Kiphire,Kiphire_Village_14,8943,955937,7,20,1,10,6,25,7,14,11,0,4,0,3,43,1,17,169
Meghalaya,South West Khasi Hills,South West Khasi Hills_Village_9,678,873207,0,0,0,1,0,0,0,1,0,1,1,1,1,3,0,2,11
Mizoram,Saitual,Saitual_Village_13,2341,348273,1,8,0,3,0,3,7,0,2,1,0,0,3,16,0,8,52
Assam,Bajali,Bajali_Village_9,7341,765620,4,23,0,8,12,20,9,3,10,3,4,0,1,35,0,16,148
Nagaland,Kohima,Kohima_Village_14,3500,945619,3,8,1,2,3,10,2,6,2,3,1,0,1,18,0,3,63
Assam,West Karbi Anglong,West Karbi Anglong_Village_19,1675,512344,0,6,0,4,1,4,1,1,1,1,0,0,1,7,0,5,32
Manipur,Imphal East,Imphal East_Village_20,6704,926236,5,7,2,7,6,13,6,8,7,1,1,0,2,18,0,15,98
Assam,South Salmara-Mankachar,South Salmara-Mankachar_Village_18,1415,571832,0,2,0,3,1,5,1,0,1,1,1,0,0,6,0,8,29
Assam,Bajali,Bajali_Village_8,3173,713762,2,4,0,3,3,9,2,3,4,0,0,0,0,18,0,4,52
Nagaland,Mokokchung,Mokokchung_Village_14,1310,467506,0,3,0,3,0,6,0,1,3,0,2,0,1,6,1,6,32
Assam,Golaghat,Golaghat_Village_10,8100,335137,7,16,0,12,11,20,8,10,8,1,2,1,4,44,0,17,161
Manipur,Jiribam,Jiribam_Village_20,2123,769737,2,3,0,6,0,4,0,1,4,1,1,0,4,6,0,8,40
Manipur,Imphal East,Imphal East_Village_4,5611,852204,5,7,0,8,7,16,5,4,7,2,2,0,1,30,0,8,102
Manipur,Senapati,Senapati_Village_13,9356,327558,7,16,1,23,10,27,8,15,13,2,2,1,4,48,0,24,201
Mizoram,Champhai,Champhai_Village_4,993,148174,0,3,1,2,4,1,0,0,2,0,0,0,0,1,0,2,16
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_14,9940,141672,3,23,0,11,7,30,8,11,16,2,1,0,6,47,0,19,184
Nagaland,Phek,Phek_Village_9,9419,917411,3,21,1,14,9,22,11,10,9,1,1,1,4,46,0,22,175
Meghalaya,Ri Bhoi,Ri Bhoi_Village_18,9617,502349,5,21,0,13,12,24,4,10,10,1,3,0,4,59,0,17,183
Manipur,Imphal East,Imphal East_Village_19,3080,138105,0,6,0,5,2,6,2,2,4,0,1,0,0,22,0,7,57
Arunachal Pradesh,West Siang,West Siang_Village_9,4545,238890,1,6,0,9,2,7,5,5,2,1,1,0,0,20,0,12,71
Arunachal Pradesh,East Siang,East Siang_Village_12,4491,269430,4,7,1,5,5,7,5,3,4,1,1,0,3,16,1,11,74
Assam,Nagaon,Nagaon_Village_6,8040,762423,2,15,0,16,8,25,4,7,9,0,4,0,4,42,0,19,155
Nagaland,Kohima,Kohima_Village_16,3107,941403,2,9,0,5,3,9,1,2,1,1,1,0,2,13,1,8,58
Meghalaya,East Garo Hills,East Garo Hills_Village_11,6488,892313,1,15,2,8,7,17,5,4,11,0,2,2,4,40,0,6,124
Manipur,Jiribam,Jiribam_Village_15,2136,588002,3,6,0,3,4,8,4,3,3,1,0,0,0,8,0,5,48
Sikkim,West Sikkim,West Sikkim_Village_19,6990,148759,7,17,2,14,7,14,2,8,5,1,3,1,9,37,0,17,144
Mizoram,Saiha,Saiha_Village_15,357,451291,0,0,0,1,2,0,0,0,1,1,0,0,0,2,0,0,7
Arunachal Pradesh,Anjaw,Anjaw_Village_8,3449,179688,5,5,0,2,5,8,3,6,5,1,0,0,0,19,0,6,65
Arunachal Pradesh,Dibang Valley,Dibang Valley_Village_11,9859,897135,2,17,3,14,13,24,9,11,10,3,4,0,7,51,0,18,186
Assam,Hailakandi,Hailakandi_Village_8,8891,325583,6,23,1,19,10,33,11,8,6,1,5,1,5,52,0,17,198
Assam,Kamrup Metropolitan,Kamrup Metropolitan_Village_9,4903,180458,4,10,1,8,6,6,3,7,6,0,2,0,1,23,0,6,83
Nagaland,Noklak,Noklak_Village_3,9114,506351,4,23,1,13,12,24,15,8,13,3,2,0,2,43,1,14,178
Meghalaya,East Jaintia Hills,East Jaintia Hills_Village_8,5502,838253,3,12,0,8,5,13,4,6,6,2,5,0,1,28,0,10,103
Arunachal Pradesh,Itanagar Capital Complex,Itanagar Capital Complex_Village_8,5239,723948,0,10,0,11,6,15,2,4,7,3,1,0,4,22,1,13,99
Assam,Darrang,Darrang_Village_1,4495,712955,3,9,0,7,3,12,7,2,4,2,2,2,3,23,0,10,89
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_11,6452,724834,0,15,0,8,5,15,9,8,5,2,0,1,3,20,0,13,104
Tripura,South Tripura,South Tripura_Village_5,3062,141360,1,10,0,5,2,7,4,2,3,1,0,0,0,17,0,6,58
Arunachal Pradesh,West Siang,West Siang_Village_15,5156,741390,1,10,2,13,2,14,4,5,3,0,1,0,3,27,0,14,99
Arunachal Pradesh,Pakke-Kessang,Pakke-Kessang_Village_14,388,813328,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5
Manipur,Imphal West,Imphal West_Village_14,4415,853504,3,10,0,7,3,15,4,4,3,1,0,0,5,25,0,15,95
Arunachal Pradesh,Lohit,Lohit_Village_8,8121,587455,2,25,0,14,11,20,5,5,10,2,2,0,4,43,0,14,157
Sikkim,West Sikkim,West Sikkim_Village_1,6152,850689,1,7,1,13,9,17,5,6,9,0,2,0,1,30,1,16,118
Meghalaya,West Garo Hills,West Garo Hills_Village_4,7275,294760,7,17,2,5,9,10,6,8,11,2,0,1,2,29,0,9,118
Manipur,Kangpokpi,Kangpokpi_Village_8,9035,239449,8,25,0,7,8,20,12,13,13,4,0,0,4,56,0,18,188
Manipur,Tamenglong,Tamenglong_Village_18,2697,305721,1,6,1,2,6,5,2,1,4,0,1,0,3,15,0,5,52
Tripura,Gomati,Gomati_Village_8,2962,704272,2,4,0,9,1,10,4,5,4,1,1,0,1,11,0,7,60
Assam,Udalguri,Udalguri_Village_10,9138,403742,1,20,0,12,11,28,3,12,11,2,3,0,3,58,0,19,183
Sikkim,West Sikkim,West Sikkim_Village_16,7688,964607,5,14,1,17,11,23,5,8,4,1,5,0,5,41,0,16,156
Meghalaya,North Garo Hills,North Garo Hills_Village_17,6724,434640,3,13,0,8,2,16,5,2,8,2,5,0,2,44,0,15,125
Assam,Nalbari,Nalbari_Village_18,7181,274739,3,20,1,15,13,23,8,7,11,2,0,0,10,28,0,10,151
Assam,Goalpara,Goalpara_Village_5,7598,339592,8,13,0,15,9,15,7,8,10,1,2,0,4,33,0,20,145
Assam,South Salmara-Mankachar,South Salmara-Mankachar_Village_4,3492,930541,0,6,0,3,1,8,5,2,3,1,3,0,0,24,0,5,61
Meghalaya,West Khasi Hills,West Khasi Hills_Village_18,5820,779445,3,9,2,13,9,15,3,4,3,1,2,1,5,40,0,18,128
Manipur,Senapati,Senapati_Village_9,4598,495489,3,10,1,7,3,8,2,5,3,0,1,0,2,25,0,8,78
Nagaland,Longleng,Longleng_Village_4,6681,714483,1,9,0,11,8,16,5,7,7,2,1,0,2,28,0,19,116
Assam,Chirang,Chirang_Village_9,5035,882824,2,15,1,5,4,15,9,5,10,0,2,0,1,21,0,7,97
Meghalaya,South West Garo Hills,South West Garo Hills_Village_2,6637,482746,5,14,1,8,12,10,7,5,6,1,3,0,3,30,0,10,115
Manipur,Kakching,Kakching_Village_17,3512,700521,0,8,0,8,3,8,0,2,7,2,1,0,2,14,0,9,64
Assam,Bokajan,Bokajan_Village_8,942,140804,0,0,1,2,0,2,1,2,0,0,1,0,0,4,0,4,17
Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley_Village_12,9653,760021,3,16,2,10,9,29,9,11,14,1,2,2,2,49,0,23,182
Manipur,Churachandpur,Churachandpur_Village_11,7447,787836,4,10,0,5,6,20,3,5,13,1,1,0,6,37,0,17,128
Manipur,Imphal West,Imphal West_Village_3,351,412886,1,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,7
Sikkim,North Sikkim,North Sikkim_Village_16,6718,459513,2,17,0,8,5,10,5,5,9,2,3,1,1,33,0,12,113
Meghalaya,East Garo Hills,East Garo Hills_Village_8,9484,975194,3,28,2,23,9,25,10,6,16,1,5,0,5,33,0,20,186
Assam,Hailakandi,Hailakandi_Village_10,7632,457455,4,11,1,10,6,26,6,12,16,2,2,0,2,37,0,12,147
Manipur,Kamjong,Kamjong_Village_1,2104,813341,0,4,0,5,2,7,2,5,1,0,0,0,0,13,0,2,41
Manipur,Churachandpur,Churachandpur_Village_10,1494,463188,2,4,0,3,1,1,1,0,4,0,0,0,3,8,0,3,30
Manipur,Jiribam,Jiribam_Village_11,9586,111991,2,18,0,12,21,16,3,6,11,0,2,0,5,47,0,22,165
Assam,Charaideo,Charaideo_Village_15,2440,758765,0,7,0,3,3,6,2,2,4,1,2,1,1,17,0,8,57
Assam,Hojai,Hojai_Village_15,5575,225812,3,8,0,10,7,13,6,4,6,0,1,0,2,28,0,5,93
Assam,Kamrup Metropolitan,Kamrup Metropolitan_Village_11,9933,631699,1,24,0,13,8,23,13,8,13,1,1,2,6,52,0,23,188
Manipur,Bishnupur,Bishnupur_Village_17,2000,300051,3,6,0,2,0,3,0,2,0,1,0,0,1,6,0,5,29
Arunachal Pradesh,Shi Yomi,Shi Yomi_Village_19,7977,571932,3,18,0,15,14,25,9,8,10,1,7,1,0,35,1,12,159
Meghalaya,West Khasi Hills,West Khasi Hills_Village_12,8001,202365,2,22,0,7,7,21,5,12,12,0,5,1,6,41,0,9,150
Nagaland,Kiphire,Kiphire_Village_1,9467,626797,4,22,2,17,9,23,7,3,12,1,6,0,6,55,0,17,184
Arunachal Pradesh,Namsai,Namsai_Village_3,4726,682789,5,6,0,5,6,13,4,7,6,0,0,0,2,24,0,7,85
Assam,Bongaigaon,Bongaigaon_Village_3,6712,781403,5,14,0,9,5,19,5,6,7,1,0,0,5,25,0,6,107
Manipur,Jiribam,Jiribam_Village_19,5295,823821,0,8,0,8,4,16,4,7,5,1,0,0,5,26,0,14,98
Mizoram,Champhai,Champhai_Village_1,2339,693643,1,1,1,10,5,5,4,2,2,0,1,0,0,13,0,1,46
Arunachal Pradesh,Tirap,Tirap_Village_15,8951,128276,8,19,3,11,13,20,8,7,10,2,4,0,3,37,0,22,167
Arunachal Pradesh,East Kameng,East Kameng_Village_4,4210,271339,2,8,0,4,4,10,3,6,5,3,1,0,2,15,0,2,65
Mizoram,Kolasib,Kolasib_Village_9,9512,541307,5,15,0,15,11,39,10,14,10,4,1,0,6,36,0,22,188
Assam,Karimganj,Karimganj_Village_12,8167,301332,3,14,1,14,7,19,2,7,13,2,5,1,1,40,0,26,155
Manipur,Kangpokpi,Kangpokpi_Village_14,256,892911,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5
Nagaland,Mokokchung,Mokokchung_Village_19,7075,274418,3,14,2,9,10,18,5,4,6,2,3,0,6,26,0,12,120
Assam,Bongaigaon,Bongaigaon_Village_19,6073,493049,4,11,1,10,7,11,6,8,7,2,4,1,5,25,0,5,107
Assam,Golaghat,Golaghat_Village_3,5993,797660,2,10,0,7,3,19,9,4,10,1,1,1,2,28,0,13,110
Assam,Chirang,Chirang_Village_19,2224,576877,4,1,0,5,3,6,0,1,3,0,0,0,0,12,0,6,41
Assam,Lakhimpur,Lakhimpur_Village_3,9285,207573,4,16,0,16,11,17,4,9,13,2,1,0,6,51,0,28,178
Nagaland,Longleng,Longleng_Village_11,9407,827250,7,19,2,14,8,26,5,14,7,1,2,0,9,57,0,17,188
Meghalaya,East Jaintia Hills,East Jaintia Hills_Village_17,2596,845951,2,5,0,1,3,6,2,2,1,0,3,0,2,16,0,5,48
Mizoram,Serchhip,Serchhip_Village_10,2164,194813,3,5,0,5,2,8,3,0,0,0,0,0,0,14,0,6,46
Manipur,Pherzawl,Pherzawl_Village_17,2565,944917,0,5,0,4,5,5,2,1,3,1,2,1,0,9,0,4,42
Meghalaya,South Garo Hills,South Garo Hills_Village_15,6437,277735,4,12,0,13,7,7,5,7,7,2,2,0,3,26,0,16,111
Nagaland,Dimapur,Dimapur_Village_14,7068,309146,5,18,0,9,14,17,9,3,11,1,1,0,5,33,0,16,142
Meghalaya,West Garo Hills,West Garo Hills_Village_10,4590,261712,1,9,0,8,4,11,5,4,4,1,1,0,2,17,0,10,77
Meghalaya,South West Garo Hills,South West Garo Hills_Village_8,3634,559753,0,6,1,8,7,10,6,3,3,0,1,0,3,11,1,6,66
Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills_Village_11,8481,784793,5,23,0,16,9,28,5,8,10,0,3,1,5,40,0,20,173
Manipur,Imphal East,Imphal East_Village_7,9216,265613,5,18,1,14,9,21,5,12,14,2,3,0,2,37,0,18,161
Tripura,Sepahijala,Sepahijala_Village_15,1658,215795,1,5,0,0,4,3,3,1,3,0,0,0,0,5,0,5,30
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_19,5347,350280,4,14,1,8,14,13,1,7,9,0,1,0,3,33,1,9,118
Assam,Tamulpur,Tamulpur_Village_14,9404,304110,4,20,0,9,7,13,11,10,9,5,0,1,3,49,1,20,162
Arunachal Pradesh,Changlang,Changlang_Village_2,4743,903013,2,7,1,8,5,11,6,7,3,1,0,0,4,28,0,8,91
Manipur,Senapati,Senapati_Village_5,1495,571635,2,4,0,1,1,3,7,2,5,0,0,0,1,3,1,5,35
Tripura,Khowai,Khowai_Village_6,9844,420984,5,18,3,14,9,24,10,8,15,4,2,0,4,43,0,28,187
Meghalaya,Ri Bhoi,Ri Bhoi_Village_2,5334,725969,1,9,1,9,1,12,5,4,7,1,3,0,3,25,1,8,90
Assam,Hojai,Hojai_Village_10,1097,108060,1,0,0,3,2,3,0,1,2,0,1,0,1,4,0,3,21
Mizoram,Mamit,Mamit_Village_3,4206,148215,1,10,1,4,2,16,9,4,5,0,2,0,0,31,0,13,98
Tripura,Khowai,Khowai_Village_8,949,412687,1,1,0,2,1,3,0,1,1,0,0,0,1,3,0,0,14
Assam,Kamrup,Kamrup_Village_3,2954,180089,0,8,0,7,3,6,3,4,5,0,2,0,2,14,0,6,60
Tripura,Dhalai,Dhalai_Village_10,1366,595158,2,4,0,2,1,3,3,1,2,0,1,0,2,6,0,3,30
Nagaland,Longleng,Longleng_Village_5,1855,452909,1,6,0,2,4,3,0,1,2,0,1,0,1,9,0,3,33
Mizoram,Saiha,Saiha_Village_17,6364,990247,2,12,1,6,8,11,5,8,7,1,2,0,3,26,0,11,103
Assam,Golaghat,Golaghat_Village_8,8513,323072,4,18,0,10,9,19,7,5,8,0,1,0,9,49,0,8,147
Manipur,Kangpokpi,Kangpokpi_Village_12,2286,863214,0,5,1,3,2,6,2,3,6,0,1,0,1,11,0,6,47
Mizoram,Lunglei,Lunglei_Village_5,6292,233096,0,12,1,8,3,7,5,10,9,0,2,0,4,37,0,10,108
Tripura,Khowai,Khowai_Village_3,5841,427252,2,6,0,14,4,14,3,9,4,0,1,0,3,35,0,6,101
Assam,Charaideo,Charaideo_Village_16,1791,757937,2,1,0,3,2,6,2,1,1,0,0,0,0,8,0,1,27
Assam,Karimganj,Karimganj_Village_18,8826,139581,5,26,2,10,8,21,6,9,17,1,1,1,4,39,0,10,160
Mizoram,Kolasib,Kolasib_Village_8,2362,505629,2,5,0,4,2,8,2,3,3,0,0,0,0,9,1,2,41
Manipur,Bishnupur,Bishnupur_Village_9,9677,705693,4,17,0,15,9,28,12,7,9,1,5,0,5,47,0,19,178
Assam,Barpeta,Barpeta_Village_6,4679,535673,3,7,0,7,3,6,0,9,4,2,0,1,1,26,0,10,79
Mizoram,Lunglei,Lunglei_Village_1,385,271790,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,7
Nagaland,Kohima,Kohima_Village_1,6078,720298,1,14,0,16,1,13,6,7,7,2,1,1,3,31,0,17,120
Assam,Hojai,Hojai_Village_17,7255,284229,7,16,1,13,5,13,3,6,11,1,1,0,4,39,0,19,139
Assam,Bajali,Bajali_Village_13,5460,802685,2,12,1,7,6,14,5,5,3,2,1,1,3,39,0,14,115
Mizoram,Hnahthial,Hnahthial_Village_15,5102,243790,3,7,1,14,5,12,6,2,7,0,1,1,2,36,0,3,100
Manipur,Kangpokpi,Kangpokpi_Village_7,1514,815894,0,1,0,2,2,2,2,4,5,0,0,0,1,7,0,3,29
Meghalaya,East Garo Hills,East Garo Hills_Village_13,1484,625119,0,0,0,2,1,2,1,1,3,0,0,0,1,10,0,4,25
Nagaland,Longleng,Longleng_Village_8,7357,930307,5,11,2,15,3,17,8,7,10,0,2,0,1,39,1,11,132
Arunachal Pradesh,Papum Pare,Papum Pare_Village_14,5238,351083,2,9,3,9,2,12,6,8,8,0,1,0,2,26,1,13,102
Nagaland,Phek,Phek_Village_5,6990,256911,4,14,0,12,5,19,9,7,7,2,2,0,3,32,1,14,131
Assam,Sonitpur,Sonitpur_Village_19,5114,992717,3,13,0,3,5,14,3,3,2,0,1,0,2,25,1,9,84
Assam,Barpeta,Barpeta_Village_5,4981,633590,3,9,0,7,5,15,7,9,6,3,1,1,1,31,0,9,107
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_3,9702,736130,3,22,0,14,8,22,8,6,11,0,4,0,4,39,0,21,162
Arunachal Pradesh,Kra Daadi,Kra Daadi_Village_15,6796,863587,1,10,0,7,3,25,5,5,7,3,3,0,3,40,0,19,131
Assam,Hailakandi,Hailakandi_Village_11,2778,488028,0,5,0,2,2,5,0,3,7,0,2,0,2,19,0,1,48
Nagaland,Longleng,Longleng_Village_17,3111,864234,1,6,0,7,2,10,2,1,4,0,0,0,1,12,0,6,52
Assam,Chirang,Chirang_Village_20,6238,805511,5,10,0,13,6,19,4,3,4,4,0,2,5,27,0,7,109
Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills_Village_5,3265,429861,3,4,0,2,2,6,3,1,6,2,0,0,1,13,0,6,49
Tripura,Unakoti,Unakoti_Village_11,6075,741055,6,12,0,14,5,14,5,5,2,2,0,0,2,38,0,18,123
Assam,Kamrup,Kamrup_Village_10,4393,306854,2,9,0,3,4,13,1,4,5,0,2,0,2,21,0,12,78
Meghalaya,Ri Bhoi,Ri Bhoi_Village_1,8219,653349,5,17,1,14,12,19,4,11,13,2,4,0,6,46,0,18,172
Assam,Nagaon,Nagaon_Village_14,8644,517568,5,14,2,12,9,18,4,7,11,1,5,0,4,53,0,24,169
Meghalaya,West Jaintia Hills,West Jaintia Hills_Village_4,9583,219754,4,16,0,18,9,20,8,8,17,4,4,1,4,44,0,23,180
Manipur,Churachandpur,Churachandpur_Village_14,3510,968170,1,3,0,4,1,8,5,3,3,1,2,0,5,19,0,7,62
Assam,Bajali,Bajali_Village_3,4615,704238,2,12,0,8,9,10,0,6,4,0,1,0,2,18,0,9,81
Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley_Village_2,2268,768854,0,3,0,1,4,5,1,4,0,1,0,1,1,11,0,1,33
Arunachal Pradesh,Namsai,Namsai_Village_16,9728,486945,6,26,1,18,12,22,8,5,8,3,3,1,7,50,0,26,196
Arunachal Pradesh,Lohit,Lohit_Village_15,7813,697530,8,21,0,13,13,8,6,8,5,2,1,0,6,47,0,12,150
Assam,Goalpara,Goalpara_Village_2,2074,994217,0,7,0,3,3,4,2,1,2,0,0,1,1,10,0,6,40
Assam,Tinsukia,Tinsukia_Village_14,9224,387782,5,18,0,17,10,28,8,11,14,1,3,0,7,49,1,19,191
Mizoram,Lawngtlai,Lawngtlai_Village_4,2701,390946,1,4,0,2,3,3,2,6,1,0,1,0,1,13,0,7,44
Manipur,Kakching,Kakching_Village_20,8725,563303,3,13,0,8,13,16,11,11,5,2,6,0,6,37,0,14,145
Arunachal Pradesh,Siang,Siang_Village_2,885,423232,1,2,0,0,2,1,3,0,1,1,0,0,2,4,1,4,22
Assam,Nalbari,Nalbari_Village_11,7255,731718,5,22,2,9,10,14,2,7,7,1,3,1,4,44,0,12,143
Tripura,North Tripura,North Tripura_Village_16,1854,794663,2,3,0,3,4,4,4,0,1,0,2,0,0,7,2,2,34
Sikkim,Soreng,Soreng_Village_7,1420,296059,1,4,0,3,2,5,1,0,3,0,1,0,0,7,0,4,31
Meghalaya,South West Khasi Hills,South West Khasi Hills_Village_13,3719,315780,2,6,1,3,3,8,5,2,5,2,0,0,1,26,0,9,73
Assam,Majuli,Majuli_Village_19,8982,117233,6,22,1,10,3,28,7,8,8,2,1,1,3,48,0,16,164
Assam,Hailakandi,Hailakandi_Village_20,7147,609253,2,14,0,15,1,17,11,4,5,1,3,0,12,35,0,18,138
Tripura,North Tripura,North Tripura_Village_4,8961,753404,5,22,0,11,10,29,10,5,9,0,0,0,10,44,0,17,172
Nagaland,Longleng,Longleng_Village_12,6046,334081,3,15,0,13,8,18,5,4,7,2,1,0,7,24,0,13,120
Meghalaya,South Garo Hills,South Garo Hills_Village_20,7321,389366,3,16,1,10,12,14,4,6,3,1,2,1,5,34,0,17,129
Tripura,South Tripura,South Tripura_Village_4,1835,952679,0,2,0,2,2,1,0,1,1,0,0,0,1,10,0,7,27
Assam,Charaideo,Charaideo_Village_12,5972,329642,2,5,0,10,4,12,2,11,4,3,1,1,1,30,0,15,101
Nagaland,Phek,Phek_Village_19,6684,447596,4,9,1,7,4,15,6,8,7,2,1,0,5,42,0,8,119
Assam,Nalbari,Nalbari_Village_2,6229,558176,3,15,0,6,7,20,1,6,11,2,1,0,3,43,0,16,134
Assam,Nagaon,Nagaon_Village_13,5370,425138,2,6,0,5,3,14,8,5,6,1,2,1,5,17,0,11,86
Meghalaya,West Garo Hills,West Garo Hills_Village_13,6583,432061,1,18,1,9,6,15,3,3,9,1,2,0,3,32,0,15,118
Tripura,Unakoti,Unakoti_Village_7,8108,941235,5,21,2,15,6,15,5,5,15,1,1,0,8,51,0,13,163
Nagaland,Wokha,Wokha_Village_2,7846,416822,7,12,4,8,8,23,8,11,9,1,1,0,4,53,0,9,158
Arunachal Pradesh,Anjaw,Anjaw_Village_14,872,464069,1,2,0,0,2,0,0,1,0,0,0,0,0,4,1,2,13
Sikkim,South Sikkim,South Sikkim_Village_5,4960,819964,3,12,2,4,7,21,2,4,3,1,2,0,2,21,0,17,101
Nagaland,Mokokchung,Mokokchung_Village_5,8329,247475,8,16,1,9,6,16,6,4,11,2,2,0,2,31,1,16,131
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_17,1393,577538,0,2,0,2,1,6,0,0,1,1,0,1,2,13,0,4,33
Meghalaya,West Jaintia Hills,West Jaintia Hills_Village_17,4082,320073,3,6,0,8,3,14,2,6,9,2,3,2,1,10,0,10,79
Assam,Charaideo,Charaideo_Village_10,4889,913423,1,10,0,9,2,11,2,6,8,2,2,0,3,25,0,19,100
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_9,3244,171849,0,10,1,7,6,4,6,2,6,1,1,0,1,21,1,2,69
Manipur,Bishnupur,Bishnupur_Village_6,9763,422623,1,19,2,15,8,15,8,16,9,3,3,1,3,44,0,16,163
Assam,Sonitpur,Sonitpur_Village_4,8682,505785,2,15,1,15,10,26,9,8,12,1,2,0,9,48,0,22,180
Assam,Sivasagar,Sivasagar_Village_2,7326,387892,4,16,1,8,9,25,11,8,9,0,0,0,6,32,0,18,147
Manipur,Kangpokpi,Kangpokpi_Village_19,3962,359535,5,5,1,7,4,12,3,4,4,1,1,0,1,24,0,7,79
Mizoram,Serchhip,Serchhip_Village_14,5570,255528,2,12,2,3,7,11,6,3,14,0,1,0,4,25,0,15,105
Meghalaya,South West Khasi Hills,South West Khasi Hills_Village_10,3432,571413,4,5,0,3,9,4,5,2,3,0,5,0,0,25,0,9,74
Assam,Bongaigaon,Bongaigaon_Village_6,8942,498468,3,19,0,10,6,16,9,6,7,4,1,2,2,49,0,26,160
Arunachal Pradesh,East Siang,East Siang_Village_11,2343,768061,3,8,0,5,0,8,0,4,2,1,1,0,1,17,0,4,54
Assam,Sonitpur,Sonitpur_Village_5,9402,223481,2,19,1,16,6,34,5,7,17,1,2,2,1,37,0,23,173
Sikkim,East Sikkim,East Sikkim_Village_6,8348,881439,6,15,0,15,7,27,7,7,13,0,4,1,1,28,0,16,147
